,0,1
0,3720 Montlake Blvd NE,"Seattle, WA 98195"
1,140 Broadway E.,"Seattle, WA 98102"
2,4th Ave & Pine St.,"Seattle, WA 98101"
3,3rd Ave Seneca St,"Seattle, WA 98101"
4,3rd Ave & James St,"Seattle, WA 98104"
5,5th Ave & S. Jackson St.,"Seattle, WA 98104"
6,501 S. Royal Brougham Way,"Seattle, WA 98134"
7,500 S Lander St,"Seattle, WA 98134"
8,2702 Beacon Ave S,"Seattle, WA 98144"
9,Rainier Ave S & S Forest St,"Seattle, WA 98144"
10,4818 Martin Luther King Jr Way S.,"Seattle, WA 98108"
11,7100 Martin Luther King Jr Way S,"Seattle, WA 98118"
12,9132 Martin Luther King Jr Way S,"Seattle, WA 98118"
13,3651 Southcenter Blvd,"Tukwila, WA 98188"
14,International Blvd & S 176th St,"SeaTac, WA 98188"
